תאריך,שעה,סוג,בסיס,פקיעה,פתיחה%,נעילה,יומי%,מחזור,עסקאות,נקודות,אחוז
7.5.2026,10:06:21,W,"4,505.61","4,531.18",0.57%,"4,469.69",0.80%,198.1,"2,616",28.97,0.64%
6.5.2026,9:59:33,W,"4,525.69","4,560.15",0.76%,"4,505.61",0.44%,120.7,"2,462",33.1,0.73%
5.5.2026,9:59:21,W,"4,504.14","4,527.05",0.51%,"4,525.69",0.48%,158.1,"3,063",83.3,1.87%
4.5.2026,10:06:19,W,"4,425.03","4,443.75",0.42%,"4,504.14",1.79%,124.2,"3,377",42.44,0.96%
1.5.2026,9:59:02,W,"4,374.81","4,401.31",0.61%,"4,425.03",1.15%,124,"2,329",45.52,1.05%
30.4.2026,9:59:48,W,"4,372.32","4,355.79",0.38%,"4,374.81",0.06%,167.8,"2,506",13.68,0.32%
29.4.2026,9:59:47,W,"4,320.73","4,342.11",0.49%,"4,372.32",1.19%,87.3,"1,856",12.44,0.29%
28.4.2026,9:59:04,W,"4,348.17","4,354.55",0.15%,"4,320.73",0.63%,68.3,"2,163",0.43,0.01%
27.4.2026,9:59:15,W,"4,362.45","4,354.98",0.17%,"4,348.17",0.33%,125.4,"3,245",26.98,0.62%
24.4.2026,9:59:43,M,"4,419.65","4,381.96",0.85%,"4,362.45",1.29%,"1,361.70","4,674",1.65,0.04%
23.4.2026,9:59:11,W,"4,429.47","4,380.31",1.11%,"4,419.65",0.22%,177.7,"3,966",3.01,0.07%
20.4.2026,9:59:07,W,"4,406.32","4,377.30",0.66%,"4,429.47",0.53%,58,"2,441",1.44,0.03%
17.4.2026,9:59:45,W,"4,378.45","4,378.74",0.01%,"4,406.32",0.64%,131.9,"2,197",73.19,1.64%
16.4.2026,9:59:54,W,"4,428.64","4,451.93",0.53%,"4,378.45",1.13%,101.8,"2,561",0.95,0.02%
15.4.2026,9:59:00,W,"4,450.82","4,452.88",0.05%,"4,428.64",0.50%,93.2,"2,345",45.39,1.03%
14.4.2026,10:09:27,W,"4,382.71","4,407.49",0.57%,"4,450.82",1.55%,121.7,"3,144",6.09,0.14%
13.4.2026,9:59:06,W,"4,443.22","4,401.40",0.94%,"4,382.71",1.36%,116.1,"3,208",24.49,0.56%
10.4.2026,9:59:35,W,"4,360.40","4,376.91",0.38%,"4,443.22",1.90%,103.4,"2,578",50.22,1.16%
9.4.2026,9:59:00,W,"4,248.43","4,326.69",1.84%,"4,360.40",2.64%,172.7,"3,729",128.75,3.07%
6.4.2026,9:59:25,W,"4,189.31","4,197.94",0.21%,"4,248.43",1.41%,94.2,"2,225",11.24,0.27%
3.4.2026,10:05:21,W,"4,099.01","4,209.18",2.69%,"4,189.31",2.20%,157.1,"2,962",225.63,5.66%
31.3.2026,9:59:30,W,"4,022.57","3,983.55",0.97%,"4,099.01",1.90%,174.9,"2,671",97.79,2.40%
30.3.2026,,-,0,"4,081.34",0.00%,0,0.00%,0,0,81.45,1.96%
27.3.2026,9:59:53,M,"4,261.85","4,162.79",2.32%,"4,100.12",3.79%,"1,794.60","5,101",137.26,3.19%
26.3.2026,,-,0,"4,300.05",0.00%,0,0.00%,0,0,6.35,0.15%
25.3.2026,9:59:00,W,"4,267.51","4,293.70",0.61%,"4,309.11",0.97%,86.8,"1,866",36.69,0.86%
24.3.2026,9:59:12,W,"4,318.13","4,257.01",1.42%,"4,267.51",1.17%,170.9,"2,737",23.59,0.56%
23.3.2026,9:59:38,W,"4,313.86","4,233.42",1.86%,"4,318.13",0.10%,175.4,"4,210",107.37,2.47%
20.3.2026,9:59:40,W,"4,305.03","4,340.79",0.83%,"4,313.86",0.21%,204.6,"2,510",60.81,1.42%
19.3.2026,9:59:00,W,"4,295.11","4,279.98",0.35%,"4,305.03",0.23%,72.1,"2,095",21.59,0.51%
18.3.2026,9:59:44,W,"4,242.48","4,258.39",0.38%,"4,295.11",1.24%,154.1,"2,771",100.57,2.42%
17.3.2026,9:59:42,W,"4,177.04","4,157.82",0.46%,"4,242.48",1.57%,52.9,"2,305",29.77,0.71%
16.3.2026,9:59:41,W,"4,177.58","4,187.59",0.24%,"4,177.04",0.01%,72.2,"2,792",77.77,1.89%
13.3.2026,9:59:18,W,"4,146.17","4,109.82",0.88%,"4,177.58",0.76%,96.3,"2,351",77.74,1.86%
12.3.2026,,-,0,"4,187.56",0.00%,0,0.00%,0,0,46.22,1.12%
11.3.2026,9:59:33,W,"4,187.97","4,141.34",1.11%,"4,211.82",0.57%,118,"2,828",109.76,2.58%
